fid,eth_address
452094,0xcbe1e25b3c736e263c2e93cad4caf0bb0f359a76
446581,0xcda9b278e9e4163ff3a49135888fde386c0b17cc
9218,0xe4e6a3c2498750ae580288a5ab22fb49a33f7559
129,0x83d6202e0bc39b516d4b8b1770fbe3e4d7561baf
379581,0xad6f5815dfa40d64d02c46c4ccab917837cda050
7143,0x4caf576d86e238f5765e0b002186b8bae8fa6ea3
695163,0x27bc0a9bb42bbac38cae640312ec3d7a9028b809
324915,0xf603ef4bd6371d9f018df0a60bfe361c338553e1
277952,0x41a53bacdbf369377870d1377864e36176751e8d
263333,0x310f92fdb4e499cfa8146c86e0e1ad5ce9e36a4b
490852,0x76909fd5590c150199acb98383875bdb7cf6136b
564447,0x275ab0037e50bda1cda147e3ac9aeaefb3d21e85
16098,0xf2fe4dd9a86ecafe22424bfb6085036bca7835a8
606589,0x44dee43b6434add203f705a0849015331edc7d65
1050528,0x50d502b7301421fe89abeadfa492229d3e8d4812
431336,0x34a1fdc370c86fdc5054df540191320cd5ff9fd6
1089844,0xc54604b9e0a1449644ea0d978fa099291f09935f
822718,0x026609ac27d2d68ca8b0e50fbbdd7541c1ea98ce
499579,0x4c9101cac1dbd5fa5bc83b6f5e6b661f647b83b1
12756,0x3ac61447a75149ba67639100ecc92c76fb20941c
417063,0xf206baa0aaa674a323f058579ce128bb6f96edfb
617,0xc82a9d91089781636f790c674e8f44cf8f1f30fc
1100071,0xcba8fa049d7b02319f59e8644807faf9f7f002f0
473065,0x845c1a276ca266181dc20bbb7f113b546a4c1f10
218142,0xde65e985e2e2f76745b4fd8013cfa6d422a8b8aa
527771,0x71cbbe6ecf1a9c4d8b9115757ebcc5ff45902177
539,0x36622b024b86636ab95bd71a5a1b8dc17f9bd9e4
422910,0x2149860637e2272b1fd423ac8de86d8462dd4903
290249,0x08eb11e245c405b891e0c1dc10595b8399da95b9
511972,0x44d0009c504c185756cd404c015b48cd4d0513df
4282,0x53d529b0a809717ce1586bd6e397eace7e44f5ef
203751,0xeffdc3b00bd81cec05a5965846831333ef81c308
499783,0x545275e6098eb53b964a4787f14e49446568ad0b
977233,0x0db12c0a67bc5b8942ea3126a465d7a0b23126c7
517425,0xeb0ae1f94b3a28510f593d4e121308f7c0b6e6ea
15268,0x154fa6972f3c9eea2adb2e10b512440761e808e7
18763,0xb127a792c83a72e6d961df9e41a5e414e22d80ba
542254,0xaf638016e8f144f77ebd6a3dd28e5bd7ca804c42
13505,0x55500894b526771c20b317c969392401bc377592
859081,0x75d51c48dfb380960f4fb7bb2465f134c2890efc
246905,0x79479e4fc351f23df380bd3f686416f6592a74b0
428431,0xe0ddc6a8e0c6fb68ff9b0ca5efea0b1c039b8b61
390829,0xaf6925d3b8602a36910a42c111eae0ecf785bfc6
410577,0x9ecd4ceda75d840af1caba4203a0add61e94f63c
644583,0xd60ddcd7c7d3820a7653dfabdf456555c63e13dd
20384,0x668710e690dff771bae92a868649f3948525638a
4703,0x2d66512827458d7a989eaa1a7da2ebf1cb7d640d
4482,0xc4fdf12dc03424beb5c117b4b19726401a9dd1ab
1016509,0x8cfd06a1da92f885933cd3facc89394eb7e18e4d
6591,0x1cee629ceb06538874f30ead124c004cecbeb089
221578,0x5ae4f1b5086fb6524435c4631b483febec10149d
4877,0x87a49b2dd267f1d06e7465a6e1298ef0b4feb19b
336022,0x3c80786afdd12c81b6d6a876263a6159318aba09
214598,0x7a698336902a0f71ef7d0575ede9f0b904acbf5f
326040,0x113729dafc0889b38cdd8bf8306c43789986f2b8
1180,0xae8e5f30e60a55fc4d3b5edce95cf857bcb20d70
4567,0x5a4b655f79696e2eea0bb1d8ac2a6e0c69e8b82a
239748,0x5da441739614ea06af94b48afb9a7af906d4132d
422225,0x472480ee9e2426cb2172ae4877ec0b2a6d2b5c3b
4163,0xdf087b724174a3e4ed2338c0798193932e851f1b
196957,0xb26e0d754a8c590afe38248c9f13b820d1243d26
315267,0x4751224a5a39a4c10b04d2feea7923e8bb9beba8
644823,0xc42166e9e1ed7b053781be452eebbe86a13c8cdb
475326,0x6638b1884fabf36556d6383ac60323cd283fa8e2
5818,0xb1b21884afe6581f3c4997b0320465f18e9682c0
625770,0x3e0a37916e5180ba0cde4af797aa255a4156f0d7
289295,0x14a650a484dc851ac4dd329ed2629d846a8bcf2a
403517,0xec0a328c94101d7ed6790cb7b3476659aba78008
423406,0x477b7fcf2879fbeecb83781509a4ef73d9d84ed4
230238,0xa272bc9d6f462f4f08849adeaf6e49a5d4430c38
390336,0x2d5612335dc2f6ba25b37ff4917c4199cf8484fb
440747,0x57d84a0d8f9a47b18931ae7fcabd7211bbd31a06
320189,0xdb5afc1f48270d79cc8e5f1119715747b7ae58af
10174,0x52bd76703e654b70fc5ee1fca02ea2725f60117b
336323,0x87d9d7cdee9d2cb787dc3e4821058eed28eeb36d
988167,0x505dc6685bd1666a11ba664bc6788d56b19e3256
360623,0xb3d12724cefa2efd91a310f71bccbe9b6a0e5f9e
2982,0xde6eff062895c1669c4920f96206e57c8c11a6e5
1725,0xf35ff7426e2dbe06305e71eaee7e038e6dbac620
428527,0xe93d5a37636d55387d355d5c6258df1a026fdad6
403619,0xd9c0e850a086aa5febd40f2668c5d7e15d7d74a2
6622,0x4cc0fb78914b630c8c2da7089c6680e8ebebec1d
396484,0x6dde8381ed88fce301c85d16a2cce157f676be51
512079,0x42a873a9a20bee9f748c89150a03500d601f45f0
477126,0x65e3419e633833df1d602e7905cb9c7e541f0849
17355,0xe2350a05267a1164cdbfdc2e48f4a1ba6486532d
426167,0x59479108adfd232aa3f2af184639fa0e08f24dde
210631,0x68a91c52b0a711bbb21c500ce8e1a6c47e9fabe4
